Leaf_Size,In_Sample,Out_of_Sample,Bag_In,Bag_Out,RT_In,RT_Out
1,0.001692725,0.00717847,0.003473821,0.004938843,0.002444168,0.008762304
2,0.003378331,0.00662882,0.003725587,0.004788199,0.004865145,0.007974032
3,0.004225404,0.006209527,0.003956896,0.004868239,0.006235172,0.007165869
4,0.004269502,0.006190382,0.004060551,0.004665901,0.005361276,0.007833334
5,0.005080572,0.005734749,0.004345684,0.00475274,0.006732132,0.006587729
6,0.005185566,0.005662136,0.004360396,0.004670076,0.007084536,0.006051934
7,0.005185566,0.005662136,0.004675073,0.004411606,0.006859725,0.006158962
8,0.005185566,0.005662136,0.004824541,0.004806306,0.006662231,0.007114597
9,0.005197854,0.005649849,0.005214501,0.004637558,0.006970995,0.006694844
10,0.005795156,0.005645663,0.005361964,0.00469634,0.007627895,0.006147718
11,0.005814942,0.005674882,0.005239813,0.004863451,0.0075734,0.006263549
12,0.005814942,0.005674882,0.005256808,0.004489378,0.007408017,0.006198211
13,0.005814942,0.005674882,0.005214545,0.004926492,0.007617877,0.005971291
14,0.005814942,0.005674882,0.005294225,0.00461375,0.007853133,0.005870552
15,0.005814942,0.005674882,0.005408651,0.005005626,0.007386025,0.005861097
16,0.005814942,0.005674882,0.005605909,0.004667551,0.007631536,0.005878464
17,0.005814942,0.005674882,0.005863567,0.004642621,0.007268014,0.006261929
18,0.005814942,0.005674882,0.005879832,0.004939873,0.007215866,0.005909082
19,0.005827537,0.005682737,0.006110817,0.004874772,0.007687233,0.005948898
20,0.006555891,0.006167694,0.006177701,0.004617362,0.008019525,0.005888435
